"wave","RI_leafmaterial","spA_Cab","spA_Car","spA_Atn","spA_Br","spA_Cw","spA_Cm","spA_Protein","spA_nonPro"
400,1.5115,0.0648815,0.16734,0.0666747,0.5272,5.8e-05,109.7,0,127.93
401,1.5115,0.0667318,0.167607,0.0640556,0.5262,5.852e-05,103.7,0,120.933
402,1.5115,0.0685513,0.167184,0.0619332,0.5252,5.9e-05,97.98,0,114.263
403,1.5115,0.0699821,0.167207,0.0599215,0.5242,5.989e-05,92.44,0,107.802
404,1.5115,0.0709,0.167613,0.058277,0.5232,6.1e-05,87.13,0,101.609
405,1.5115,0.0713334,0.167596,0.0566994,0.5222,6.203e-05,82.31,0,95.9885
406,1.5108,0.0713202,0.167513,0.0553657,0.5212,6.3e-05,78.06,0,91.0322
407,1.5101,0.0712604,0.167426,0.0541628,0.5202,6.399e-05,74.04,0,86.3442
408,1.5095,0.0712231,0.167239,0.0531158,0.5192,6.5e-05,70.13,0,81.7844
409,1.5088,0.071228,0.166682,0.0519797,0.5182,6.603e-05,66.54,0,77.5978
410,1.5081,0.0714914,0.165882,0.0509515,0.5172,6.7e-05,63,0,73.4695
411,1.5076,0.0718877,0.165517,0.0501165,0.5162,6.79e-05,59.54,0,69.4345
412,1.5071,0.0720185,0.165446,0.0493873,0.5152,6.9e-05,56.16,0,65.4928
413,1.5065,0.0718268,0.165689,0.0486038,0.5142,7.05e-05,53,0,61.8077
414,1.506,0.0714934,0.166088,0.0478761,0.5132,7.2e-05,50.01,0,58.3208
415,1.5055,0.0711319,0.166189,0.0473795,0.5122,7.312e-05,47.23,0,55.0788
416,1.505,0.0707629,0.166288,0.0468987,0.5112,7.4e-05,44.63,0,52.0467
417,1.5046,0.0704367,0.166456,0.0465315,0.5102,7.49e-05,42.2,0,49.2129
418,1.5041,0.070094,0.166622,0.0461572,0.5092,7.6e-05,39.96,0,46.6007
419,1.5037,0.0698404,0.166873,0.0457923,0.5082,7.74e-05,37.8,0,44.0817
420,1.5032,0.0698193,0.167164,0.0454286,0.5072,7.9e-05,35.67,0,41.5977
421,1.5029,0.0700539,0.167544,0.0451439,0.5062,8.063e-05,33.62,0,39.2071
422,1.5026,0.0702815,0.16798,0.0448451,0.5052,8.2e-05,31.7,0,36.968
