product,n_valid,rmse,max_abs,bias,r2
TOC-BRDF,100,4.2139476867131587e-16,3.3306690738754696e-15,9.752615381941609e-17,1.0
TOA,100,6.400130581428667e-15,2.3162027851242328e-14,-2.067544603071868e-15,1.0
