version,n_valid,rmse,max_abs,bias,r2
marmit1,60,3.5421446516564984e-10,1.7007825370285445e-08,4.215606715448916e-11,1.0
marmit2,60,1.7941994046863842e-08,1.665511525916763e-07,4.760506151722754e-09,0.9999999999999861
